gen	var1	var2	var3	var4	var5	var6	var7
1	22.60	85.23	14.89	2.81	9.42	21.50	100.34
2	22.56	73.32	22.49	2.44	9.74	19.13	99.05
3	23.11	92.78	42.12	2.28	7.08	18.80	87.29
4	25.27	102.50	41.00	2.24	6.63	19.31	101.89
5	21.37	93.88	45.56	2.45	5.40	18.34	88.73
6	22.81	100.46	19.29	2.30	7.94	20.99	111.69
7	26.00	101.61	84.27	2.28	11.10	21.99	107.67
8	24.13	80.22	25.71	2.25	6.87	19.62	108.55
9	22.72	98.21	42.96	2.41	7.94	23.01	96.26
10	24.17	100.51	65.03	2.32	8.43	24.27	101.76
11	24.67	73.14	43.46	2.61	11.54	20.40	88.56
12	20.95	105.33	14.09	2.36	9.97	23.96	86.81
13	21.34	104.73	17.92	2.38	9.51	25.13	87.60
14	25.93	142.69	78.66	2.37	8.53	26.47	112.81
15	24.01	76.33	21.34	2.74	7.97	22.78	116.15
16	17.94	88.09	11.06	2.38	8.30	19.07	85.71
17	18.69	65.30	22.22	2.39	9.94	18.55	65.76
18	24.68	113.71	19.71	2.13	6.50	20.95	106.08
19	23.46	95.83	21.02	2.75	8.14	21.80	106.36
20	23.60	105.67	25.38	2.47	8.55	21.61	94.76
21	24.20	93.23	57.12	2.31	8.63	21.00	94.74
22	21.07	120.93	51.11	2.15	10.10	23.69	81.36
23	23.12	108.31	49.22	4.13	10.81	22.13	99.27
24	25.78	86.51	56.91	2.01	8.38	25.23	120.16
25	19.74	69.66	37.65	1.99	6.76	16.53	86.42
26	24.47	82.48	13.55	2.07	9.61	23.61	96.25
27	26.75	78.03	52.46	2.15	8.22	18.36	111.10
28	24.66	71.59	35.07	1.88	8.30	17.22	84.08
29	25.23	119.58	25.10	2.28	6.51	20.11	100.34
30	17.56	59.74	22.44	2.02	10.96	16.57	68.83
31	22.23	77.88	31.54	2.47	10.34	22.15	111.37
32	19.93	81.63	16.56	2.18	8.91	18.83	79.80
33	26.46	118.45	79.68	2.19	8.56	23.04	111.05
34	23.80	73.74	39.03	2.28	9.84	18.67	85.56
35	22.75	68.56	16.92	2.55	7.75	18.48	78.18
36	22.67	119.67	31.18	2.70	8.32	27.13	95.57
37	20.98	113.41	29.11	2.16	6.02	18.16	78.98
38	25.96	105.57	56.84	2.39	8.36	21.99	89.77
39	18.97	75.10	35.41	2.24	8.07	16.98	81.71
40	27.86	91.38	80.61	2.51	8.43	21.78	114.00
41	22.82	96.57	32.51	2.54	10.16	25.75	103.46
42	24.02	112.97	32.81	2.42	8.97	24.87	107.30
43	21.95	61.99	38.16	2.57	9.14	18.47	103.81
44	21.13	88.89	21.11	2.51	7.27	19.46	98.63
45	24.86	103.77	25.95	2.69	10.20	29.83	113.59
46	28.55	109.17	48.02	2.41	6.69	20.50	131.27
47	29.19	123.27	47.58	2.44	7.88	24.79	126.27
48	25.60	87.94	37.93	2.36	9.76	23.88	102.38
49	21.46	67.25	38.45	2.12	11.73	18.67	98.78
50	22.64	65.56	31.73	2.22	6.52	13.03	89.26
TEST1	28.86	128.24	63.17	2.24	9.46	30.75	102.38
TEST2	19.04	81.86	11.25	2.48	8.98	19.62	95.15
